名稱	閃電種類	時間	經度	緯度
對地閃電 184-2022-08-06 16:03	對地	2022-08-06 16	120.447	23.231
對地閃電 185-2022-08-06 16:03	對地	2022-08-06 16	120.377	23.209
雲間閃電 165-2022-08-06 16:03	雲間	2022-08-06 16	120.265	23.135
對地閃電 186-2022-08-06 16:03	對地	2022-08-06 16	120.264	23.135
雲間閃電 166-2022-08-06 16:03	雲間	2022-08-06 16	120.623	23.008
對地閃電 187-2022-08-06 16:03	對地	2022-08-06 16	120.462	23.196
雲間閃電 167-2022-08-06 16:03	雲間	2022-08-06 16	120.387	23.22
雲間閃電 168-2022-08-06 16:03	雲間	2022-08-06 16	120.46	22.972
對地閃電 188-2022-08-06 16:03	對地	2022-08-06 16	120.439	23.296
對地閃電 189-2022-08-06 16:03	對地	2022-08-06 16	120.398	23.255
對地閃電 190-2022-08-06 16:03	對地	2022-08-06 16	120.483	23.221
雲間閃電 169-2022-08-06 16:03	雲間	2022-08-06 16	120.398	23.219
雲間閃電 170-2022-08-06 16:03	雲間	2022-08-06 16	120.361	23.289
雲間閃電 171-2022-08-06 16:03	雲間	2022-08-06 16	120.56	23.03
對地閃電 191-2022-08-06 16:03	對地	2022-08-06 16	120.559	23.01
對地閃電 192-2022-08-06 16:03	對地	2022-08-06 16	120.592	22.941
雲間閃電 172-2022-08-06 16:03	雲間	2022-08-06 16	120.605	22.965
雲間閃電 173-2022-08-06 16:03	雲間	2022-08-06 16	120.612	22.975
對地閃電 193-2022-08-06 16:03	對地	2022-08-06 16	120.577	22.942
雲間閃電 174-2022-08-06 16:03	雲間	2022-08-06 16	120.609	22.974
對地閃電 194-2022-08-06 16:03	對地	2022-08-06 16	120.572	22.987
對地閃電 195-2022-08-06 16:03	對地	2022-08-06 16	120.609	22.971
雲間閃電 175-2022-08-06 16:03	雲間	2022-08-06 16	120.608	22.974
對地閃電 196-2022-08-06 16:04	對地	2022-08-06 16	120.615	22.973
對地閃電 197-2022-08-06 16:04	對地	2022-08-06 16	120.445	23.293
雲間閃電 176-2022-08-06 16:04	雲間	2022-08-06 16	120.461	23.284
雲間閃電 177-2022-08-06 16:04	雲間	2022-08-06 16	120.358	23.247
對地閃電 198-2022-08-06 16:04	對地	2022-08-06 16	120.527	22.883
對地閃電 199-2022-08-06 16:04	對地	2022-08-06 16	120.637	23.025
對地閃電 200-2022-08-06 16:04	對地	2022-08-06 16	120.433	23.276
對地閃電 201-2022-08-06 16:04	對地	2022-08-06 16	120.482	23.236
對地閃電 202-2022-08-06 16:04	對地	2022-08-06 16	120.437	23.275
對地閃電 203-2022-08-06 16:04	對地	2022-08-06 16	120.55	22.966
對地閃電 204-2022-08-06 16:04	對地	2022-08-06 16	120.434	23.232
雲間閃電 178-2022-08-06 16:04	雲間	2022-08-06 16	120.473	23.358
雲間閃電 179-2022-08-06 16:04	雲間	2022-08-06 16	120.263	23.177
雲間閃電 180-2022-08-06 16:04	雲間	2022-08-06 16	120.253	23.181
雲間閃電 181-2022-08-06 16:04	雲間	2022-08-06 16	120.466	23.174
對地閃電 205-2022-08-06 16:04	對地	2022-08-06 16	120.479	23.206
對地閃電 206-2022-08-06 16:04	對地	2022-08-06 16	120.455	23.209
雲間閃電 182-2022-08-06 16:04	雲間	2022-08-06 16	120.463	23.197
對地閃電 207-2022-08-06 16:04	對地	2022-08-06 16	120.4	23.242
雲間閃電 183-2022-08-06 16:04	雲間	2022-08-06 16	120.546	23.266
對地閃電 208-2022-08-06 16:04	對地	2022-08-06 16	120.487	23.172
雲間閃電 184-2022-08-06 16:04	雲間	2022-08-06 16	120.543	23.006
對地閃電 209-2022-08-06 16:04	對地	2022-08-06 16	120.446	23.229
雲間閃電 185-2022-08-06 16:04	雲間	2022-08-06 16	120.525	22.973
雲間閃電 186-2022-08-06 16:04	雲間	2022-08-06 16	120.354	23.087
雲間閃電 187-2022-08-06 16:04	雲間	2022-08-06 16	120.352	23.268
雲間閃電 188-2022-08-06 16:04	雲間	2022-08-06 16	120.333	23.297
對地閃電 210-2022-08-06 16:04	對地	2022-08-06 16	120.432	23.333
對地閃電 211-2022-08-06 16:04	對地	2022-08-06 16	120.454	23.165
對地閃電 212-2022-08-06 16:04	對地	2022-08-06 16	120.589	23.015
雲間閃電 189-2022-08-06 16:04	雲間	2022-08-06 16	120.591	23.016
對地閃電 213-2022-08-06 16:04	對地	2022-08-06 16	120.602	23.008
雲間閃電 190-2022-08-06 16:04	雲間	2022-08-06 16	120.359	23.298
對地閃電 214-2022-08-06 16:04	對地	2022-08-06 16	120.463	22.935
雲間閃電 191-2022-08-06 16:04	雲間	2022-08-06 16	120.471	23.207
對地閃電 215-2022-08-06 16:04	對地	2022-08-06 16	120.523	22.957
對地閃電 216-2022-08-06 16:04	對地	2022-08-06 16	120.518	22.915
雲間閃電 192-2022-08-06 16:04	雲間	2022-08-06 16	120.396	23.209
對地閃電 217-2022-08-06 16:04	對地	2022-08-06 16	120.54	22.982
對地閃電 218-2022-08-06 16:04	對地	2022-08-06 16	120.46	23.366
雲間閃電 193-2022-08-06 16:04	雲間	2022-08-06 16	120.437	23.279
對地閃電 219-2022-08-06 16:04	對地	2022-08-06 16	120.41	23.205
雲間閃電 194-2022-08-06 16:04	雲間	2022-08-06 16	120.411	23.25
雲間閃電 195-2022-08-06 16:04	雲間	2022-08-06 16	120.448	23.169
對地閃電 220-2022-08-06 16:04	對地	2022-08-06 16	120.618	23.0
對地閃電 221-2022-08-06 16:04	對地	2022-08-06 16	120.422	23.236
雲間閃電 196-2022-08-06 16:04	雲間	2022-08-06 16	120.438	23.27
雲間閃電 197-2022-08-06 16:04	雲間	2022-08-06 16	120.387	23.235
對地閃電 222-2022-08-06 16:04	對地	2022-08-06 16	120.541	22.96
對地閃電 223-2022-08-06 16:04	對地	2022-08-06 16	120.544	22.953
對地閃電 224-2022-08-06 16:04	對地	2022-08-06 16	120.518	22.915
對地閃電 225-2022-08-06 16:04	對地	2022-08-06 16	120.53	22.927
對地閃電 226-2022-08-06 16:04	對地	2022-08-06 16	120.552	23.034
雲間閃電 198-2022-08-06 16:04	雲間	2022-08-06 16	120.579	23.034
雲間閃電 199-2022-08-06 16:04	雲間	2022-08-06 16	120.734	23.279
雲間閃電 200-2022-08-06 16:04	雲間	2022-08-06 16	120.441	23.343
對地閃電 227-2022-08-06 16:04	對地	2022-08-06 16	120.446	23.247
對地閃電 228-2022-08-06 16:04	對地	2022-08-06 16	120.39	23.144
對地閃電 229-2022-08-06 16:04	對地	2022-08-06 16	120.482	22.96
對地閃電 230-2022-08-06 16:04	對地	2022-08-06 16	120.491	22.962
對地閃電 231-2022-08-06 16:04	對地	2022-08-06 16	120.494	23.016
對地閃電 232-2022-08-06 16:04	對地	2022-08-06 16	120.373	23.122
對地閃電 233-2022-08-06 16:04	對地	2022-08-06 16	120.374	23.123
對地閃電 234-2022-08-06 16:04	對地	2022-08-06 16	120.427	23.244
雲間閃電 201-2022-08-06 16:04	雲間	2022-08-06 16	120.424	23.242
對地閃電 235-2022-08-06 16:04	對地	2022-08-06 16	120.566	22.979
雲間閃電 202-2022-08-06 16:04	雲間	2022-08-06 16	120.471	23.353
雲間閃電 203-2022-08-06 16:05	雲間	2022-08-06 16	120.536	23.037
對地閃電 236-2022-08-06 16:05	對地	2022-08-06 16	120.406	23.272
雲間閃電 204-2022-08-06 16:05	雲間	2022-08-06 16	120.432	23.298
雲間閃電 205-2022-08-06 16:05	雲間	2022-08-06 16	120.468	23.15
雲間閃電 206-2022-08-06 16:05	雲間	2022-08-06 16	120.362	23.302
對地閃電 237-2022-08-06 16:05	對地	2022-08-06 16	120.313	23.138
雲間閃電 207-2022-08-06 16:05	雲間	2022-08-06 16	120.462	23.189
雲間閃電 208-2022-08-06 16:05	雲間	2022-08-06 16	120.431	23.26
對地閃電 238-2022-08-06 16:05	對地	2022-08-06 16	120.405	23.258
雲間閃電 209-2022-08-06 16:05	雲間	2022-08-06 16	120.291	23.196
雲間閃電 210-2022-08-06 16:05	雲間	2022-08-06 16	120.598	22.995
對地閃電 239-2022-08-06 16:05	對地	2022-08-06 16	120.444	23.296
雲間閃電 211-2022-08-06 16:05	雲間	2022-08-06 16	120.539	22.951
雲間閃電 212-2022-08-06 16:05	雲間	2022-08-06 16	120.538	22.962
雲間閃電 213-2022-08-06 16:05	雲間	2022-08-06 16	120.429	23.173
雲間閃電 214-2022-08-06 16:05	雲間	2022-08-06 16	120.377	23.125
雲間閃電 215-2022-08-06 16:05	雲間	2022-08-06 16	120.374	23.122
雲間閃電 216-2022-08-06 16:05	雲間	2022-08-06 16	120.564	23.024
對地閃電 240-2022-08-06 16:05	對地	2022-08-06 16	120.505	23.44
對地閃電 241-2022-08-06 16:05	對地	2022-08-06 16	120.581	22.977
對地閃電 242-2022-08-06 16:05	對地	2022-08-06 16	120.394	23.271
雲間閃電 217-2022-08-06 16:05	雲間	2022-08-06 16	120.422	23.253
雲間閃電 218-2022-08-06 16:05	雲間	2022-08-06 16	120.436	23.292
對地閃電 243-2022-08-06 16:05	對地	2022-08-06 16	120.471	23.195
對地閃電 244-2022-08-06 16:05	對地	2022-08-06 16	120.451	23.372
雲間閃電 219-2022-08-06 16:05	雲間	2022-08-06 16	120.452	23.37
對地閃電 245-2022-08-06 16:05	對地	2022-08-06 16	120.434	23.268
對地閃電 246-2022-08-06 16:05	對地	2022-08-06 16	120.471	23.233
對地閃電 247-2022-08-06 16:05	對地	2022-08-06 16	120.433	23.308
雲間閃電 220-2022-08-06 16:05	雲間	2022-08-06 16	120.423	23.188
對地閃電 248-2022-08-06 16:05	對地	2022-08-06 16	120.417	23.29
對地閃電 249-2022-08-06 16:05	對地	2022-08-06 16	120.472	23.277
對地閃電 250-2022-08-06 16:05	對地	2022-08-06 16	120.471	23.372
雲間閃電 221-2022-08-06 16:05	雲間	2022-08-06 16	120.479	23.195
雲間閃電 222-2022-08-06 16:05	雲間	2022-08-06 16	120.451	22.932
對地閃電 251-2022-08-06 16:05	對地	2022-08-06 16	120.504	22.928
對地閃電 252-2022-08-06 16:05	對地	2022-08-06 16	120.566	23.019
雲間閃電 223-2022-08-06 16:05	雲間	2022-08-06 16	120.448	23.33
對地閃電 253-2022-08-06 16:05	對地	2022-08-06 16	120.437	23.294
對地閃電 254-2022-08-06 16:05	對地	2022-08-06 16	120.478	23.222
對地閃電 255-2022-08-06 16:05	對地	2022-08-06 16	120.389	23.136
對地閃電 256-2022-08-06 16:05	對地	2022-08-06 16	120.379	23.123
對地閃電 257-2022-08-06 16:05	對地	2022-08-06 16	120.381	23.122
對地閃電 258-2022-08-06 16:05	對地	2022-08-06 16	120.553	22.995
對地閃電 259-2022-08-06 16:05	對地	2022-08-06 16	120.325	23.154
雲間閃電 224-2022-08-06 16:05	雲間	2022-08-06 16	120.428	23.289
雲間閃電 225-2022-08-06 16:05	雲間	2022-08-06 16	120.311	23.14
雲間閃電 226-2022-08-06 16:05	雲間	2022-08-06 16	120.459	23.366
雲間閃電 227-2022-08-06 16:05	雲間	2022-08-06 16	120.403	23.256
對地閃電 260-2022-08-06 16:05	對地	2022-08-06 16	120.453	23.193
對地閃電 261-2022-08-06 16:05	對地	2022-08-06 16	120.303	23.019
雲間閃電 228-2022-08-06 16:05	雲間	2022-08-06 16	120.427	23.253
雲間閃電 229-2022-08-06 16:05	雲間	2022-08-06 16	120.352	23.3
雲間閃電 230-2022-08-06 16:05	雲間	2022-08-06 16	120.375	23.195
對地閃電 262-2022-08-06 16:05	對地	2022-08-06 16	120.424	23.255
雲間閃電 231-2022-08-06 16:05	雲間	2022-08-06 16	120.58	23.422
對地閃電 263-2022-08-06 16:05	對地	2022-08-06 16	120.455	23.188
雲間閃電 232-2022-08-06 16:05	雲間	2022-08-06 16	120.5	23.163
對地閃電 264-2022-08-06 16:05	對地	2022-08-06 16	120.575	23.025
對地閃電 265-2022-08-06 16:05	對地	2022-08-06 16	120.575	23.024
對地閃電 266-2022-08-06 16:05	對地	2022-08-06 16	120.594	23.035
雲間閃電 233-2022-08-06 16:05	雲間	2022-08-06 16	120.512	23.428
對地閃電 267-2022-08-06 16:05	對地	2022-08-06 16	120.428	23.21
雲間閃電 234-2022-08-06 16:05	雲間	2022-08-06 16	120.594	23.488
對地閃電 268-2022-08-06 16:05	對地	2022-08-06 16	120.613	22.893
對地閃電 269-2022-08-06 16:05	對地	2022-08-06 16	120.525	22.936
對地閃電 270-2022-08-06 16:05	對地	2022-08-06 16	120.474	23.192
對地閃電 271-2022-08-06 16:06	對地	2022-08-06 16	120.405	23.269
雲間閃電 235-2022-08-06 16:06	雲間	2022-08-06 16	120.511	23.319
雲間閃電 236-2022-08-06 16:06	雲間	2022-08-06 16	120.591	23.02
對地閃電 272-2022-08-06 16:06	對地	2022-08-06 16	120.417	23.229
對地閃電 273-2022-08-06 16:06	對地	2022-08-06 16	120.431	23.235
對地閃電 274-2022-08-06 16:06	對地	2022-08-06 16	120.467	23.369
雲間閃電 237-2022-08-06 16:06	雲間	2022-08-06 16	120.404	23.27
對地閃電 275-2022-08-06 16:06	對地	2022-08-06 16	120.51	22.935
對地閃電 276-2022-08-06 16:06	對地	2022-08-06 16	120.44	23.305
對地閃電 277-2022-08-06 16:06	對地	2022-08-06 16	120.576	23.433
雲間閃電 238-2022-08-06 16:06	雲間	2022-08-06 16	120.459	23.242
雲間閃電 239-2022-08-06 16:06	雲間	2022-08-06 16	120.474	23.226
對地閃電 278-2022-08-06 16:06	對地	2022-08-06 16	120.604	23.026
雲間閃電 240-2022-08-06 16:06	雲間	2022-08-06 16	120.388	23.122
對地閃電 279-2022-08-06 16:06	對地	2022-08-06 16	120.429	23.369
對地閃電 280-2022-08-06 16:06	對地	2022-08-06 16	120.491	23.185
雲間閃電 241-2022-08-06 16:06	雲間	2022-08-06 16	120.326	23.13
雲間閃電 242-2022-08-06 16:06	雲間	2022-08-06 16	120.513	22.976
雲間閃電 243-2022-08-06 16:06	雲間	2022-08-06 16	120.573	23.465
雲間閃電 244-2022-08-06 16:06	雲間	2022-08-06 16	120.429	23.226
雲間閃電 245-2022-08-06 16:06	雲間	2022-08-06 16	120.368	23.249
雲間閃電 246-2022-08-06 16:06	雲間	2022-08-06 16	120.463	23.225
雲間閃電 247-2022-08-06 16:06	雲間	2022-08-06 16	120.621	23.001
雲間閃電 248-2022-08-06 16:06	雲間	2022-08-06 16	120.349	23.304
對地閃電 281-2022-08-06 16:06	對地	2022-08-06 16	120.486	23.281
雲間閃電 249-2022-08-06 16:06	雲間	2022-08-06 16	120.434	23.3
對地閃電 282-2022-08-06 16:06	對地	2022-08-06 16	120.45	23.189
雲間閃電 250-2022-08-06 16:06	雲間	2022-08-06 16	120.487	23.194
對地閃電 283-2022-08-06 16:06	對地	2022-08-06 16	120.337	23.265
對地閃電 284-2022-08-06 16:06	對地	2022-08-06 16	120.543	23.413
對地閃電 285-2022-08-06 16:06	對地	2022-08-06 16	120.472	23.206
對地閃電 286-2022-08-06 16:06	對地	2022-08-06 16	120.481	23.374
雲間閃電 251-2022-08-06 16:06	雲間	2022-08-06 16	120.454	23.287
對地閃電 287-2022-08-06 16:06	對地	2022-08-06 16	120.231	23.147
雲間閃電 252-2022-08-06 16:06	雲間	2022-08-06 16	120.473	22.917
雲間閃電 253-2022-08-06 16:06	雲間	2022-08-06 16	120.522	22.994
雲間閃電 254-2022-08-06 16:06	雲間	2022-08-06 16	120.522	22.994
對地閃電 288-2022-08-06 16:06	對地	2022-08-06 16	120.525	22.977
對地閃電 289-2022-08-06 16:06	對地	2022-08-06 16	120.43	23.252
對地閃電 290-2022-08-06 16:06	對地	2022-08-06 16	120.421	23.252
對地閃電 291-2022-08-06 16:06	對地	2022-08-06 16	120.426	23.34
對地閃電 292-2022-08-06 16:06	對地	2022-08-06 16	120.431	23.34
對地閃電 293-2022-08-06 16:06	對地	2022-08-06 16	120.443	23.31
雲間閃電 255-2022-08-06 16:06	雲間	2022-08-06 16	120.617	22.984
雲間閃電 256-2022-08-06 16:06	雲間	2022-08-06 16	120.549	23.0
對地閃電 294-2022-08-06 16:06	對地	2022-08-06 16	120.575	23.046
對地閃電 295-2022-08-06 16:06	對地	2022-08-06 16	120.514	22.915
對地閃電 296-2022-08-06 16:06	對地	2022-08-06 16	120.636	22.99
雲間閃電 257-2022-08-06 16:06	雲間	2022-08-06 16	120.514	22.916
對地閃電 297-2022-08-06 16:06	對地	2022-08-06 16	120.516	22.917
對地閃電 298-2022-08-06 16:06	對地	2022-08-06 16	120.516	22.917
對地閃電 299-2022-08-06 16:06	對地	2022-08-06 16	120.322	23.13
雲間閃電 258-2022-08-06 16:06	雲間	2022-08-06 16	120.496	23.282
雲間閃電 259-2022-08-06 16:06	雲間	2022-08-06 16	120.367	23.182
對地閃電 300-2022-08-06 16:06	對地	2022-08-06 16	120.488	23.351
雲間閃電 260-2022-08-06 16:06	雲間	2022-08-06 16	120.524	22.923
雲間閃電 261-2022-08-06 16:06	雲間	2022-08-06 16	120.564	22.997
對地閃電 301-2022-08-06 16:06	對地	2022-08-06 16	120.47	23.211
雲間閃電 262-2022-08-06 16:06	雲間	2022-08-06 16	120.26	23.198
雲間閃電 263-2022-08-06 16:06	雲間	2022-08-06 16	120.26	23.198
雲間閃電 264-2022-08-06 16:06	雲間	2022-08-06 16	120.45	23.104
雲間閃電 265-2022-08-06 16:06	雲間	2022-08-06 16	120.605	22.99
對地閃電 302-2022-08-06 16:06	對地	2022-08-06 16	120.378	23.242
對地閃電 303-2022-08-06 16:06	對地	2022-08-06 16	120.547	23.394
雲間閃電 266-2022-08-06 16:06	雲間	2022-08-06 16	120.427	23.288
雲間閃電 267-2022-08-06 16:07	雲間	2022-08-06 16	120.428	23.311
對地閃電 304-2022-08-06 16:07	對地	2022-08-06 16	120.538	23.021
對地閃電 305-2022-08-06 16:07	對地	2022-08-06 16	120.539	23.021
雲間閃電 268-2022-08-06 16:07	雲間	2022-08-06 16	120.456	23.256
對地閃電 306-2022-08-06 16:07	對地	2022-08-06 16	120.61	23.02
對地閃電 307-2022-08-06 16:07	對地	2022-08-06 16	120.615	23.017
對地閃電 308-2022-08-06 16:07	對地	2022-08-06 16	120.604	23.026
對地閃電 309-2022-08-06 16:07	對地	2022-08-06 16	120.608	23.024
對地閃電 310-2022-08-06 16:07	對地	2022-08-06 16	120.416	23.249
對地閃電 311-2022-08-06 16:07	對地	2022-08-06 16	120.439	23.212
對地閃電 312-2022-08-06 16:07	對地	2022-08-06 16	120.512	22.95
對地閃電 313-2022-08-06 16:07	對地	2022-08-06 16	120.506	22.948
雲間閃電 269-2022-08-06 16:07	雲間	2022-08-06 16	120.444	23.284
對地閃電 314-2022-08-06 16:07	對地	2022-08-06 16	120.478	23.243
雲間閃電 270-2022-08-06 16:07	雲間	2022-08-06 16	120.436	23.295
對地閃電 315-2022-08-06 16:07	對地	2022-08-06 16	120.49	23.373
雲間閃電 271-2022-08-06 16:07	雲間	2022-08-06 16	120.376	23.36
對地閃電 316-2022-08-06 16:07	對地	2022-08-06 16	120.642	23.01
雲間閃電 272-2022-08-06 16:07	雲間	2022-08-06 16	120.452	22.941
雲間閃電 273-2022-08-06 16:07	雲間	2022-08-06 16	120.458	23.223
雲間閃電 274-2022-08-06 16:07	雲間	2022-08-06 16	120.415	23.308
雲間閃電 275-2022-08-06 16:07	雲間	2022-08-06 16	120.556	22.939
雲間閃電 276-2022-08-06 16:07	雲間	2022-08-06 16	120.391	23.141
雲間閃電 277-2022-08-06 16:07	雲間	2022-08-06 16	120.425	23.307
雲間閃電 278-2022-08-06 16:07	雲間	2022-08-06 16	120.464	22.946
對地閃電 317-2022-08-06 16:07	對地	2022-08-06 16	120.503	22.973
雲間閃電 279-2022-08-06 16:07	雲間	2022-08-06 16	120.492	22.996
雲間閃電 280-2022-08-06 16:07	雲間	2022-08-06 16	120.514	22.924
對地閃電 318-2022-08-06 16:07	對地	2022-08-06 16	120.482	23.355
對地閃電 319-2022-08-06 16:07	對地	2022-08-06 16	120.515	22.973
雲間閃電 281-2022-08-06 16:07	雲間	2022-08-06 16	120.437	23.286
雲間閃電 282-2022-08-06 16:07	雲間	2022-08-06 16	120.451	23.352
雲間閃電 283-2022-08-06 16:07	雲間	2022-08-06 16	120.583	22.987
對地閃電 320-2022-08-06 16:07	對地	2022-08-06 16	120.512	22.927
對地閃電 321-2022-08-06 16:07	對地	2022-08-06 16	120.592	23.029
雲間閃電 284-2022-08-06 16:07	雲間	2022-08-06 16	120.257	23.207
對地閃電 322-2022-08-06 16:07	對地	2022-08-06 16	120.448	23.211
雲間閃電 285-2022-08-06 16:07	雲間	2022-08-06 16	120.394	23.215
對地閃電 323-2022-08-06 16:07	對地	2022-08-06 16	120.529	22.972
雲間閃電 286-2022-08-06 16:07	雲間	2022-08-06 16	120.569	23.02
雲間閃電 287-2022-08-06 16:07	雲間	2022-08-06 16	120.45	23.298
雲間閃電 288-2022-08-06 16:07	雲間	2022-08-06 16	120.38	23.32
雲間閃電 289-2022-08-06 16:07	雲間	2022-08-06 16	120.378	23.264
對地閃電 324-2022-08-06 16:07	對地	2022-08-06 16	120.467	23.207
雲間閃電 290-2022-08-06 16:07	雲間	2022-08-06 16	120.445	23.302
對地閃電 325-2022-08-06 16:07	對地	2022-08-06 16	120.508	22.934
對地閃電 326-2022-08-06 16:07	對地	2022-08-06 16	120.54	23.414
對地閃電 327-2022-08-06 16:07	對地	2022-08-06 16	120.474	23.242
對地閃電 328-2022-08-06 16:07	對地	2022-08-06 16	120.478	23.239
對地閃電 329-2022-08-06 16:07	對地	2022-08-06 16	120.516	23.359
對地閃電 330-2022-08-06 16:07	對地	2022-08-06 16	120.421	23.234
對地閃電 331-2022-08-06 16:07	對地	2022-08-06 16	120.381	23.272
對地閃電 332-2022-08-06 16:07	對地	2022-08-06 16	120.445	23.324
對地閃電 333-2022-08-06 16:07	對地	2022-08-06 16	120.428	23.249
雲間閃電 291-2022-08-06 16:07	雲間	2022-08-06 16	120.436	23.297
雲間閃電 292-2022-08-06 16:07	雲間	2022-08-06 16	120.5	22.915
雲間閃電 293-2022-08-06 16:07	雲間	2022-08-06 16	120.508	22.976
對地閃電 334-2022-08-06 16:07	對地	2022-08-06 16	120.476	23.201
雲間閃電 294-2022-08-06 16:07	雲間	2022-08-06 16	120.453	23.235
對地閃電 335-2022-08-06 16:07	對地	2022-08-06 16	120.439	23.239
雲間閃電 295-2022-08-06 16:07	雲間	2022-08-06 16	120.398	23.126
對地閃電 336-2022-08-06 16:07	對地	2022-08-06 16	120.594	23.001
雲間閃電 296-2022-08-06 16:07	雲間	2022-08-06 16	120.426	23.185
雲間閃電 297-2022-08-06 16:07	雲間	2022-08-06 16	120.583	23.024
雲間閃電 298-2022-08-06 16:07	雲間	2022-08-06 16	120.582	23.025
對地閃電 337-2022-08-06 16:07	對地	2022-08-06 16	120.502	22.954
對地閃電 338-2022-08-06 16:07	對地	2022-08-06 16	120.502	22.956
雲間閃電 299-2022-08-06 16:07	雲間	2022-08-06 16	120.571	23.0
對地閃電 339-2022-08-06 16:07	對地	2022-08-06 16	120.455	23.216
雲間閃電 300-2022-08-06 16:07	雲間	2022-08-06 16	120.627	22.974
雲間閃電 301-2022-08-06 16:07	雲間	2022-08-06 16	120.452	23.317
對地閃電 340-2022-08-06 16:07	對地	2022-08-06 16	120.502	23.351
雲間閃電 302-2022-08-06 16:07	雲間	2022-08-06 16	120.443	23.214
對地閃電 341-2022-08-06 16:07	對地	2022-08-06 16	120.345	23.117
對地閃電 342-2022-08-06 16:07	對地	2022-08-06 16	120.475	23.383
雲間閃電 303-2022-08-06 16:07	雲間	2022-08-06 16	120.381	23.174
雲間閃電 304-2022-08-06 16:07	雲間	2022-08-06 16	120.305	23.254
雲間閃電 305-2022-08-06 16:08	雲間	2022-08-06 16	120.466	23.165
對地閃電 343-2022-08-06 16:08	對地	2022-08-06 16	120.546	23.006
雲間閃電 306-2022-08-06 16:08	雲間	2022-08-06 16	120.547	23.031
對地閃電 344-2022-08-06 16:08	對地	2022-08-06 16	120.537	23.01
雲間閃電 307-2022-08-06 16:08	雲間	2022-08-06 16	120.303	23.196
對地閃電 345-2022-08-06 16:08	對地	2022-08-06 16	120.311	23.181
雲間閃電 308-2022-08-06 16:08	雲間	2022-08-06 16	120.303	23.194
雲間閃電 309-2022-08-06 16:08	雲間	2022-08-06 16	120.474	23.237
對地閃電 346-2022-08-06 16:08	對地	2022-08-06 16	120.463	23.231
對地閃電 347-2022-08-06 16:08	對地	2022-08-06 16	120.538	22.935
對地閃電 348-2022-08-06 16:08	對地	2022-08-06 16	120.481	23.158
雲間閃電 310-2022-08-06 16:08	雲間	2022-08-06 16	120.485	23.16
對地閃電 349-2022-08-06 16:08	對地	2022-08-06 16	120.615	23.006
對地閃電 350-2022-08-06 16:08	對地	2022-08-06 16	120.419	23.303
雲間閃電 311-2022-08-06 16:08	雲間	2022-08-06 16	120.355	23.3
雲間閃電 312-2022-08-06 16:08	雲間	2022-08-06 16	120.428	23.34
對地閃電 351-2022-08-06 16:08	對地	2022-08-06 16	120.471	23.375
對地閃電 352-2022-08-06 16:08	對地	2022-08-06 16	120.489	23.359
雲間閃電 313-2022-08-06 16:08	雲間	2022-08-06 16	120.44	23.306
對地閃電 353-2022-08-06 16:08	對地	2022-08-06 16	120.358	23.149
雲間閃電 314-2022-08-06 16:08	雲間	2022-08-06 16	120.438	23.288
對地閃電 354-2022-08-06 16:08	對地	2022-08-06 16	120.439	23.287
對地閃電 355-2022-08-06 16:08	對地	2022-08-06 16	120.326	23.346
對地閃電 356-2022-08-06 16:08	對地	2022-08-06 16	120.437	23.176
對地閃電 357-2022-08-06 16:08	對地	2022-08-06 16	120.468	23.185
雲間閃電 315-2022-08-06 16:08	雲間	2022-08-06 16	120.384	23.25
對地閃電 358-2022-08-06 16:08	對地	2022-08-06 16	120.383	23.25
雲間閃電 316-2022-08-06 16:08	雲間	2022-08-06 16	120.443	23.269
對地閃電 359-2022-08-06 16:08	對地	2022-08-06 16	120.452	23.35
雲間閃電 317-2022-08-06 16:08	雲間	2022-08-06 16	120.422	23.228
對地閃電 360-2022-08-06 16:08	對地	2022-08-06 16	120.501	23.248
雲間閃電 318-2022-08-06 16:08	雲間	2022-08-06 16	120.462	23.292
雲間閃電 319-2022-08-06 16:08	雲間	2022-08-06 16	120.4	23.311
對地閃電 361-2022-08-06 16:08	對地	2022-08-06 16	120.551	23.017
對地閃電 362-2022-08-06 16:08	對地	2022-08-06 16	120.405	23.245
雲間閃電 320-2022-08-06 16:08	雲間	2022-08-06 16	120.515	22.928
雲間閃電 321-2022-08-06 16:08	雲間	2022-08-06 16	120.519	22.927
雲間閃電 322-2022-08-06 16:08	雲間	2022-08-06 16	120.518	22.925
對地閃電 363-2022-08-06 16:08	對地	2022-08-06 16	120.527	22.929
雲間閃電 323-2022-08-06 16:08	雲間	2022-08-06 16	120.524	22.929
對地閃電 364-2022-08-06 16:08	對地	2022-08-06 16	120.367	23.249
雲間閃電 324-2022-08-06 16:08	雲間	2022-08-06 16	120.59	22.966
對地閃電 365-2022-08-06 16:08	對地	2022-08-06 16	120.596	22.906
對地閃電 366-2022-08-06 16:08	對地	2022-08-06 16	120.591	22.99
對地閃電 367-2022-08-06 16:08	對地	2022-08-06 16	120.597	22.988
雲間閃電 325-2022-08-06 16:08	雲間	2022-08-06 16	120.407	23.274
雲間閃電 326-2022-08-06 16:08	雲間	2022-08-06 16	120.494	22.969
雲間閃電 327-2022-08-06 16:08	雲間	2022-08-06 16	120.487	22.973
雲間閃電 328-2022-08-06 16:08	雲間	2022-08-06 16	120.451	23.355
雲間閃電 329-2022-08-06 16:08	雲間	2022-08-06 16	120.449	23.264
