名稱	閃電種類	時間	經度	緯度
雲間閃電 34-2022-08-06 16:00	雲間	2022-08-06 16	120.436	23.172
對地閃電 47-2022-08-06 16:00	對地	2022-08-06 16	120.434	23.22
雲間閃電 35-2022-08-06 16:00	雲間	2022-08-06 16	120.442	23.257
雲間閃電 36-2022-08-06 16:00	雲間	2022-08-06 16	120.391	23.277
雲間閃電 37-2022-08-06 16:00	雲間	2022-08-06 16	120.5	23.214
對地閃電 48-2022-08-06 16:00	對地	2022-08-06 16	120.443	23.19
雲間閃電 38-2022-08-06 16:01	雲間	2022-08-06 16	120.496	23.225
雲間閃電 39-2022-08-06 16:01	雲間	2022-08-06 16	120.433	23.3
對地閃電 49-2022-08-06 16:01	對地	2022-08-06 16	120.414	23.194
雲間閃電 40-2022-08-06 16:01	雲間	2022-08-06 16	120.439	23.277
雲間閃電 41-2022-08-06 16:01	雲間	2022-08-06 16	120.439	23.277
對地閃電 50-2022-08-06 16:01	對地	2022-08-06 16	120.556	22.888
雲間閃電 42-2022-08-06 16:01	雲間	2022-08-06 16	120.397	23.266
對地閃電 51-2022-08-06 16:01	對地	2022-08-06 16	120.343	23.218
雲間閃電 43-2022-08-06 16:01	雲間	2022-08-06 16	120.334	23.14
對地閃電 52-2022-08-06 16:01	對地	2022-08-06 16	120.477	23.351
雲間閃電 44-2022-08-06 16:01	雲間	2022-08-06 16	120.397	23.245
雲間閃電 45-2022-08-06 16:01	雲間	2022-08-06 16	120.45	23.286
雲間閃電 46-2022-08-06 16:01	雲間	2022-08-06 16	120.525	22.981
雲間閃電 47-2022-08-06 16:01	雲間	2022-08-06 16	120.446	23.19
對地閃電 53-2022-08-06 16:01	對地	2022-08-06 16	120.439	23.299
對地閃電 54-2022-08-06 16:01	對地	2022-08-06 16	120.44	23.266
對地閃電 55-2022-08-06 16:01	對地	2022-08-06 16	120.485	23.171
對地閃電 56-2022-08-06 16:01	對地	2022-08-06 16	120.46	23.267
雲間閃電 48-2022-08-06 16:01	雲間	2022-08-06 16	120.412	23.317
對地閃電 57-2022-08-06 16:01	對地	2022-08-06 16	120.587	22.998
對地閃電 58-2022-08-06 16:01	對地	2022-08-06 16	120.477	23.271
雲間閃電 49-2022-08-06 16:01	雲間	2022-08-06 16	120.442	23.314
對地閃電 59-2022-08-06 16:01	對地	2022-08-06 16	120.433	23.303
雲間閃電 50-2022-08-06 16:01	雲間	2022-08-06 16	120.553	22.994
對地閃電 60-2022-08-06 16:01	對地	2022-08-06 16	120.39	23.27
雲間閃電 51-2022-08-06 16:01	雲間	2022-08-06 16	120.394	23.275
對地閃電 61-2022-08-06 16:01	對地	2022-08-06 16	120.547	22.984
雲間閃電 52-2022-08-06 16:01	雲間	2022-08-06 16	120.351	23.247
雲間閃電 53-2022-08-06 16:01	雲間	2022-08-06 16	120.446	23.285
對地閃電 62-2022-08-06 16:01	對地	2022-08-06 16	120.451	23.295
雲間閃電 54-2022-08-06 16:01	雲間	2022-08-06 16	120.415	23.297
雲間閃電 55-2022-08-06 16:01	雲間	2022-08-06 16	120.415	23.253
雲間閃電 56-2022-08-06 16:01	雲間	2022-08-06 16	120.389	23.285
對地閃電 63-2022-08-06 16:01	對地	2022-08-06 16	120.48	23.22
對地閃電 64-2022-08-06 16:01	對地	2022-08-06 16	120.455	23.193
雲間閃電 57-2022-08-06 16:01	雲間	2022-08-06 16	120.291	23.139
對地閃電 65-2022-08-06 16:01	對地	2022-08-06 16	120.482	23.286
雲間閃電 58-2022-08-06 16:01	雲間	2022-08-06 16	120.42	23.363
對地閃電 66-2022-08-06 16:01	對地	2022-08-06 16	120.274	23.252
雲間閃電 59-2022-08-06 16:01	雲間	2022-08-06 16	120.455	23.191
雲間閃電 60-2022-08-06 16:01	雲間	2022-08-06 16	120.453	23.189
對地閃電 67-2022-08-06 16:01	對地	2022-08-06 16	120.448	23.184
雲間閃電 61-2022-08-06 16:01	雲間	2022-08-06 16	120.378	23.276
對地閃電 68-2022-08-06 16:01	對地	2022-08-06 16	120.422	23.219
對地閃電 69-2022-08-06 16:01	對地	2022-08-06 16	120.39	23.258
雲間閃電 62-2022-08-06 16:01	雲間	2022-08-06 16	120.458	23.222
雲間閃電 63-2022-08-06 16:01	雲間	2022-08-06 16	120.463	23.284
對地閃電 70-2022-08-06 16:01	對地	2022-08-06 16	120.449	23.283
對地閃電 71-2022-08-06 16:01	對地	2022-08-06 16	120.657	22.993
對地閃電 72-2022-08-06 16:01	對地	2022-08-06 16	120.401	23.29
對地閃電 73-2022-08-06 16:01	對地	2022-08-06 16	120.42	23.291
雲間閃電 64-2022-08-06 16:01	雲間	2022-08-06 16	120.389	23.292
雲間閃電 65-2022-08-06 16:01	雲間	2022-08-06 16	120.444	23.298
對地閃電 74-2022-08-06 16:01	對地	2022-08-06 16	120.459	23.274
對地閃電 75-2022-08-06 16:01	對地	2022-08-06 16	120.41	23.18
雲間閃電 66-2022-08-06 16:01	雲間	2022-08-06 16	120.394	23.283
對地閃電 76-2022-08-06 16:01	對地	2022-08-06 16	120.391	23.265
雲間閃電 67-2022-08-06 16:01	雲間	2022-08-06 16	120.605	23.027
雲間閃電 68-2022-08-06 16:01	雲間	2022-08-06 16	120.6	23.027
對地閃電 77-2022-08-06 16:01	對地	2022-08-06 16	120.399	23.256
雲間閃電 69-2022-08-06 16:01	雲間	2022-08-06 16	120.44	23.21
對地閃電 78-2022-08-06 16:01	對地	2022-08-06 16	120.434	23.322
對地閃電 79-2022-08-06 16:01	對地	2022-08-06 16	120.519	22.974
對地閃電 80-2022-08-06 16:01	對地	2022-08-06 16	120.454	23.353
對地閃電 81-2022-08-06 16:01	對地	2022-08-06 16	120.499	22.904
雲間閃電 70-2022-08-06 16:01	雲間	2022-08-06 16	120.358	23.3
對地閃電 82-2022-08-06 16:01	對地	2022-08-06 16	120.421	23.262
對地閃電 83-2022-08-06 16:01	對地	2022-08-06 16	120.468	23.344
對地閃電 84-2022-08-06 16:01	對地	2022-08-06 16	120.468	23.353
雲間閃電 71-2022-08-06 16:01	雲間	2022-08-06 16	120.46	23.206
雲間閃電 72-2022-08-06 16:01	雲間	2022-08-06 16	120.332	23.204
雲間閃電 73-2022-08-06 16:01	雲間	2022-08-06 16	120.387	23.278
對地閃電 85-2022-08-06 16:01	對地	2022-08-06 16	120.401	23.26
雲間閃電 74-2022-08-06 16:01	雲間	2022-08-06 16	120.489	23.19
對地閃電 86-2022-08-06 16:01	對地	2022-08-06 16	120.553	22.985
對地閃電 87-2022-08-06 16:01	對地	2022-08-06 16	120.459	22.958
雲間閃電 75-2022-08-06 16:01	雲間	2022-08-06 16	120.475	22.94
對地閃電 88-2022-08-06 16:01	對地	2022-08-06 16	120.458	22.965
雲間閃電 76-2022-08-06 16:01	雲間	2022-08-06 16	120.498	22.949
雲間閃電 77-2022-08-06 16:01	雲間	2022-08-06 16	120.39	23.249
雲間閃電 78-2022-08-06 16:01	雲間	2022-08-06 16	120.456	23.202
雲間閃電 79-2022-08-06 16:01	雲間	2022-08-06 16	120.343	23.277
對地閃電 89-2022-08-06 16:01	對地	2022-08-06 16	120.372	23.29
雲間閃電 80-2022-08-06 16:01	雲間	2022-08-06 16	120.41	23.293
雲間閃電 81-2022-08-06 16:01	雲間	2022-08-06 16	120.511	23.235
雲間閃電 82-2022-08-06 16:01	雲間	2022-08-06 16	120.397	23.264
雲間閃電 83-2022-08-06 16:01	雲間	2022-08-06 16	120.346	23.24
雲間閃電 84-2022-08-06 16:01	雲間	2022-08-06 16	120.534	23.445
雲間閃電 85-2022-08-06 16:01	雲間	2022-08-06 16	120.379	23.3
雲間閃電 86-2022-08-06 16:01	雲間	2022-08-06 16	120.448	23.339
對地閃電 90-2022-08-06 16:01	對地	2022-08-06 16	120.405	23.206
對地閃電 91-2022-08-06 16:01	對地	2022-08-06 16	120.431	23.166
對地閃電 92-2022-08-06 16:01	對地	2022-08-06 16	120.394	23.243
雲間閃電 87-2022-08-06 16:01	雲間	2022-08-06 16	120.547	22.979
雲間閃電 88-2022-08-06 16:01	雲間	2022-08-06 16	120.463	23.208
雲間閃電 89-2022-08-06 16:01	雲間	2022-08-06 16	120.387	23.252
雲間閃電 90-2022-08-06 16:01	雲間	2022-08-06 16	120.431	23.283
對地閃電 93-2022-08-06 16:01	對地	2022-08-06 16	120.377	23.297
雲間閃電 91-2022-08-06 16:01	雲間	2022-08-06 16	120.367	23.293
雲間閃電 92-2022-08-06 16:02	雲間	2022-08-06 16	120.432	23.29
對地閃電 94-2022-08-06 16:02	對地	2022-08-06 16	120.445	23.046
